NM_MUNICIPIO;NM_LOCAL_VOTACAO;DS_ENDERECO;NM_BAIRRO;NR_CEP;NR_LATITUDE;NR_LONGITUDE
ARAGUAÍNA;ESCOLA MUNICIPAL PREFEITO JOÃO DE SOUSA LIMA;RUA ZACARIAS BARROS, SN;SETOR ITAPUÃ;77823530;-7.1763551;-48.2124993
GURUPI;ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS APAE;AVENIDA CENTRAL E N 370;WALDIR LINS;77423350;-11.73998846;-49.0850599
PALMAS;COLÉGIO ESTADUAL DUQUE DE CAXIAS;RUA 10 QD 49 NR 414;TAQUARUÇU;77080072;-10.32070095;-48.15411377
PALMAS;EMTI - PROFESSOR FIDÊNCIO BOGO;TO 020, KM 11, LOTEAMENTO MARMELADA, TAQUARUÇU GRANDE;ZONA RURAL;77249899;-10.2439907;-48.2217687
SANTA TEREZA DO TOCANTINS;ESCOLA ESTADUAL PROFESSOR MANOEL SILVÉRIO DOURADO;AV. HENRIQUE PEREIRA DA CRUZ, 560;CENTRO;77615000;-10.2848456;-47.8079239
IPUEIRAS;ESCOLA ESTADUAL ANA DE SOUZA PAIVA (ANTIGO COL. EST. FELIX CAMOA II);AV RAIMUNDO PINTO, S/N;CENTRO;77553000;-11.2390828;-48.4435838
PALMAS;ETI ESTADUAL PROFESSORA ELIZÂNGELA GLÓRIA CARDOSO;401 SUL, AV. NS1, COM AV. LO 9, CONJ 2, LOTE 11;PLANO DIRETOR SUL;77015556;-10.2072349;-48.3364601
PORTO NACIONAL;ESCOLA MUNICIPAL VER. MARIETA PEREIRA DE MACEDO;AV. T2, QD. 4;SAO FRANCISCO;77500000;-10.7230916;-48.3842989
PORTO NACIONAL;ESCOLA MUNICIPAL JACINTO BISPO ARANTES;SETOR PORTAL DO LAGO - LUZIMANGUES;distrito de luzimangues;77500000;-10.2030507;-48.4625113
PARAÍSO DO TOCANTINS;COLÉGIO MILITAR DO ESTADO DO TOCANTINS DIACONÍZIO BEZERRA DA SILVA;AVENIDA INGLATERRA S/N;JARDIM AMÉRICA;77600000;-10.19617974;-48.8997184
ANGICO;ESCOLA MUNICIPAL RAIMUNDO BARBOSA LIMA;POVOADO TAMBORIL;ZONA RURAL;77905000;-6.5500438;-47.9906656
GUARAÍ;COLÉGIO ESTADUAL ANTONIO ALENCAR LEÃO;AVENIDA JOAQUIM GUARA, N. 2801;Centro;77700000;-8.84283667;-48.50833833
SANTA MARIA DO TOCANTINS;COLÉGIO ESTADUAL GIRASSOL DE TEMPO INTEGRAL SANTA MARIA;RUA CONSTÂNCIO GOMES S/N;CENTRO;77716000;-8.7746283;-47.7461733
CASEARA;COLÉGIO ESTADUAL TRAJANO DE ALMEIDA;AVENIDA BRASIL, S/N;CENTRO;77680000;-9.2752286;-49.9543447
CRISTALÂNDIA;APAE - ASSOCIAÇÃO DE PAIS E AMIGOS EXCEPCIONAIS;RUA PERON JOSÉ, N 178;CENTRO;77490000;-10.597676;-49.194062
FORMOSO DO ARAGUAIA;COLÉGIO MUNICIPAL DOM ALANO;PRAÇA SÃO JOÃO BATISTA S/N;CENTRO;77470000;-11.7990538;-49.5309815
AUGUSTINÓPOLIS;ESCOLA ESTADUAL SANTA GENOVEVA;RUA DOM PEDRO I, S/N;CENTRO;77960000;-5.4759992;-47.8926493
PALMAS;ESCOLA MUNICIPAL DE TEMPO INTEGRAL VINÍCIUS DE MORAES;706 SUL ALAMEDA 13 LOTES 01 A 06 S/N;PLANO DIRETOR SUL;77022410;-10.2245859;-48.3207052
DIVINÓPOLIS DO TOCANTINS;ESCOLA ESTADUAL DONA CÂNDIDA DE FREITAS;AVENIDA JOAO GUALBERTO, S/N;SETOR AEROPORTO;77670000;-9.798772;-49.2082483
GURUPI;ESCOLA MUNICIPAL DOMINGOS BARREIRA DE AMORIM;RUA 110, QD PMG/ D. NRO 435.;RESIDENCIAL JARDIM DOS BURITIS;77430410;-11.72206728;-49.09735138
PARANÃ;COLÉGIO MUNICIPAL DO TIGRE;RODOVIA 490, PARANÃ/SÃO VALÉRIO KM 67;POVOADO TIGRE;77360000;-12.1624517;-48.0558183
PEIXE;ESCOLA ESTADUAL TANCREDO NEVES;AVENIDA JOAO VISCONDE DE QUEIROZ;CENTRO;77460000;-12.028399;-48.5392515
AUGUSTINÓPOLIS;ESCOLA MUNICIPAL AGROVILA I;P.A. TRÊS IRMÃOS;ZONA RURAL;77960000;-5.5910667;-47.89269
PEDRO AFONSO;ESCOLA MUNICIPAL JANDEVAN;RUA CONSTANCIO GOMES, N. 375;CENTRO;77710000;-8.96883167;-48.17595667
PALMAS;EMTI - COLÉGIO FORÇAS NO ESPORTE ALMIRANTE TAMANDARÉ;1306 SUL, ALAMEDA 01, APM 37/40;PLANO DIRETOR SUL;77024553;-10.2672423;-48.3235128
ANANÁS;COLÉGIO ESTADUAL GETULIO VARGAS;PRAÇA JK, RUA 15 DE NOVEMBRO;CENTRO;77890000;-6.364358;-48.0729662
ARAGUAÍNA;ESCOLA ESTADUAL JOÃO ALVES BATISTA;RUA ADEMAR VICENTE FERREIRA, 661;CENTRO;77803040;-7.192414;-48.2102672
ARAGUAÍNA;COLÉGIO MILITAR DO ESTADO DO TOCANTINS DR JOSÉ ALUISIO DA SILVA LUZ;AVENIDA GOIAS, 626;SETOR COIMBRA;77826582;-7.1937813;-48.1869913
GURUPI;COLEGIO ESTADUAL JOSE SEABRA LEMOS;RUA PRES CASTELO BRANCO(ANTIGA RUA 03), S/N, ENTRE AS AV RN E BRASILIA;CENTRO;77400000;-11.73428348;-49.06005451
ARAGOMINAS;COLEGIO ESTADUAL GETULIO VARGAS;RUA ROSALANDIA, 134;CENTRO;77845000;-7.1658403;-48.5267182
ARAGUAÇU;SALÃO PAROQUIAL;AV ARAGUAIA N 1928 CENTRO;CENTRO;77475000;-12.932268;-49.8254447
MURICILÂNDIA;COLEGIO ESTADUAL MARECHAL COSTA E SILVA;RUA COSTA E SILVA, S/N;CENTRO;77858000;-7.1447778;-48.6063736
BARROLÂNDIA;COLEGIO ESTADUAL PRESIDENTE COSTA  E SILVA;RUA CAPITAO GEORGINHO, 194;CENTRO;77650000;-9.8322879;-48.7262642
PARAÍSO DO TOCANTINS;ESCOLA MUNICIPAL DE 1 GRAU 23 DE OUTUBRO;RUA GETULIO VARGAS, S/N;SETOR OESTE;77600000;-10.1802198;-48.89101257
PORTO NACIONAL;ESCOLA ESTADUAL PEDRO LUDOVICO TEIXEIRA;AVENIDA SERGIPE, S/N;NOVO PLANALTO;77500000;-10.72015333;-48.39506675
MAURILÂNDIA DO TOCANTINS;CRECHE VOVÓ TIMÓTEA - CMEI TIMÓTEA ALVES DE LIMA;AV. SERTANEJA, S/N. CENTRO;CENTRO;77918000;-5.9523146;-47.5101895
PALMAS;CMEI PEQUENOS BRILHANTES;403 NORTE ALAMEDA 01 APM-38 S/N;PLANO DIRETOR NORTE;77000000;-10.1637473;-48.3387338
PALMAS;COLÉGIO BATISTA DE PALMAS;704 SUL (ARSE 71) APM 11 AL 14 LOTES 1 A 10;PLANO DIRETOR SUL;77022344;-10.2271075;-48.3270239
ARAGUATINS;FACULDADE UNITINS;RUA SIQUEIRA CAMPOS, S/N;CENTRO;77950000;-5.6514319;-48.1259353
ARAGUATINS;ESCOLA MUNICIPAL PROFESSORA NAIR DUARTE;RUA BARTOLOMEU BUENO DA SILVA, S/N;CENTRO;77950000;-5.648286;-48.1227038
GUARAÍ;APAE - ASSOCIAÇÃO DOS PAIS E AMIGOS DOS EXCEPCIONAIS;AVENIDA  JK,  N. 2642;SETOR UNIVERSITÁRIO;77700000;-8.84100667;-48.50575
ARAPOEMA;COLEGIO ESTADUAL RUILON DIAS CARNEIRO;RUA SENADOR ANTONIO RAMOS CAIADO, 1265;JARDIM PRIMAVERA;77780000;-7.6600325;-49.0651204
ARAGUAÍNA;ESCOLA ESTADUAL FRANCISCO MÁXIMO DE SOUSA;RUA SANTA TEREZINHA, 431;SANTA TEREZINHA;77818804;-7.2040725;-48.1958542
DIVINÓPOLIS DO TOCANTINS;COLÉGIO ESTADUAL JOÃO DIAS SOBRINHO;AVENIDA SEBASTIAO BORBA SANTOS, S/N;CENTRO;77670000;-9.7998575;-49.2154746
