NM_MUNICIPIO;NM_LOCAL_VOTACAO;DS_ENDERECO;NM_BAIRRO;NR_CEP;NR_LATITUDE;NR_LONGITUDE
GOIATINS;ESCOLA HONORATO JOSE DA CRUZ;POVOADO CAMPOS;ZONA RURAL;77770000;-7.9797315;-47.6970037
TOCANTINÓPOLIS;ESCOLA MUNICIPAL PROF. ANTÔNIO FARIAS;RUA EQUADOR, S/N;VILA MATILDE;77900000;-6.3210638;-47.4339758
GOIATINS;ESCOLA MUNICIPAL GREGÓRIO DE ASSIS;AV. SOUSA PORTO, S/N, POVOADO DE ALTO LINDO;ZONA RURAL;77770000;-8.3845644;-47.7635686
ARAGUATINS;ESCOLA MUNICIPAL SÃO VICENTE FERRER;PRACA RUI BARBOSA, S/N;CENTRO;77950000;-5.648214;-48.1291124
ALVORADA;COLÉGIO MILITAR DO ESTADO DO TOCANTINS ADJÚLIO BALTHAZAR;AVENIDA RUI BARBOSA, S/Nº - CENTRO.;CENTRO;77480000;-12.4840305;-49.1248076
NOVA OLINDA;ESCOLA ESTADUAL HAMEDY CURI QUEIROZ;RUA JOSÉ DE MORAES, 1527;CENTRO;77790000;-7.632677;-48.4195931
TOCANTÍNIA;COL. EST. FREI ANTONIO;RUA TEODOMIRO CARNEIRO, S/N;CENTRO;77640000;-9.5693917;-48.3789623
TUPIRAMA;ESCOLA MUNICIPAL DE TEMPO INTEGRAL MARIA JOSÉ ALVES MIRANDA;RUA 01, QD 01, LT APM 18;SETOR NOVO HORIZONTE;77704000;-8.955148;-48.281996
DIVINÓPOLIS DO TOCANTINS;ESCOLA MUNICIPAL JOSÉ RIBAMAR BARBOSA;RUA 14 S/N;SETOR SOL NASCENTE;77670000;-9.7970301;-49.2029067
RIO DOS BOIS;ESCOLA ESTADUAL VALDECY PINHEIRO;AV. TIRANDENTES, 308;CENTRO;77650000;-9.3414198;-48.5345832
PEIXE;ESCOLA MUNICIPAL JUCELINO KUBITSCHEK DE OLIVEIRA;RUA JOSÉ CARLOS DE CARVALHO, S/N° QD 47 LT 12, SETOR SUL;SETOR AEROPORTO;77460000;-12.03621;-48.5451281
PARAÍSO DO TOCANTINS;ESCOLA RAIO DE SOL;RUA JOSE BONIFACIO, 1066;CENTRO;77600000;-10.17112721;-48.88442957
PARAÍSO DO TOCANTINS;ESCOLA MUNICIPAL DE 1 GRAU POUSO ALEGRE;AVENIDA PARAISO - ESQUINA RUA 56;POUSO ALEGRE;77600000;-10.19317198;-48.89054297
PALMAS;COLÉGIO ESTADUAL DOM ALANO MARIE DU NODAY;208 SUL AI 08 ALAMEDA 13;CENTRO;77020548;-10.1952769;-48.3189864
PINDORAMA DO TOCANTINS;ESCOLA MUNICIPAL JOSEFA BELEM;AVENIDA 4 ESQUINA COM  RUA 2, S/N;CENTRO;77380000;-11.13397;-47.57783
ARAGUAÍNA;ESCOLA MUNICIPAL TOMAZ BATISTA;RUA 8, 48;VILA ALIANCA;77813810;-7.201882;-48.2027004
JAÚ DO TOCANTINS;ESCOLA MUNICIPAL PEDRO LUIZ BOMFIM;PRAÇA EURÍPEDES DE BRITO, 62;CENTRO;77450000;-12.6517722;-48.5942206
PEIXE;ASSOCIAÇÃO DOS PRODUTORES RURAIS DO ASSENTAMENTO SÃO JOSE;PA SÃO JOSE LOTE 165;ZONA RURAL;77460000;-11.935468;-48.6740617
CRISTALÂNDIA;ESCOLA MUNICIPAL DOM JAIME ANTONIO SCHUCK;RUA 17,  S/N;CENTRO;77490000;-10.5956633;-49.1931769
FORMOSO DO ARAGUAIA;COLÉGIO MUNICIPAL HERMÍNIO AZEVEDO SOARES;AVENIDA JOAQUIM BATISTA DE OLIVEIRA, S/N;CENTRO;77470000;-11.801595;-49.5245313
FIGUEIRÓPOLIS;COLÉGIO ESTADUAL ALAIR SENA CONCEIÇÃO;AVENIDA AMAZONAS, 1641;CENTRO;77465000;-12.14187;-49.1723617
BURITI DO TOCANTINS;COLEGIO ESTADUAL BURITI;RUA JOSE DE ASSIS, S//N;CENTRO;77995000;-5.316082;-48.2269784
PEQUIZEIRO;ESCOLA MUNICIPAL PAULO FREIRE - P.A. PROGRESSO;PROJETO DE ASSENTAMENTO RURAL PROGRESSO;ZONA RURAL;77730000;-8.40110821;-48.91449565
MIRACEMA DO TOCANTINS;UNIVERSIDADE FEDERAL DO TOCANTINS;RUA LOURDES SOLINO - QUADRA 130;SETOR UNIVERSITARIO;77650000;-9.5692611;-48.4054496
CAMPOS LINDOS;ESCOLA ESTADUAL MANOEL ALVES GRANDE;RUA ADRIAO SOARES GIL, S/N;CENTRO;77777000;-7.9670694;-46.8081741
PARAÍSO DO TOCANTINS;ANEXO - ESCOLA MUNICIPAL IRMÃ JULITA;AVENIDA PARANÁ, 787;SETOR OESTE;77600000;-10.18191302;-48.89635334
ARAGUATINS;ESCOLA ESTADUAL LEONIDAS GONCALVES DUARTE;RUA QUINTINO BOCAIUVA, S/N;CENTRO;77950000;-5.6498405;-48.1264465
DOIS IRMÃOS DO TOCANTINS;COLEGIO ESTADUAL PRESIDENTE CASTELO BRANCO;AV. ARAGUAIA, 173;CENTRO;77685000;-9.2566989;-49.0652271
CONCEIÇÃO DO TOCANTINS;ESCOLA MUNICIPAL ISABEL COSTA;TRAVESSA 02, S/N;CENTRO;77305000;-12.2197377;-47.2920902
TAGUATINGA;ESCOLA MUNICIPAL LAURA DO CARMO;SETOR NORTE, S/N;SETOR NORTE;77320000;-12.3988406;-46.4384378
TOCANTINÓPOLIS;ESCOLA MUNICIPAL WALFREDO CAMPOS MAIA;RUA APOLONIO PEREIRA LABRE;VILA SANTA RITA;77900000;-6.3392217;-47.4285793
ARAGUAÍNA;ESCOLA MUNICIPAL WILLIAM CASTELO BRANCO MARTINS;RUA ESTRELA DO ORIENTE, 425, PARQUE SONHOS DOURADOS;PARQUE SONHOS DOURADOS;77818804;-7.1827026;-48.2320327
COLINAS DO TOCANTINS;CEMEI MARGARIDINHA (ANTIGA ESCOLA MUNICIPAL CANTINHO DA ALEGRIA);RUA AIRTON SENNA, 344, CENTRO;CENTRO;77760000;-8.0530689;-48.484032
PEQUIZEIRO;COLÉGIO ESTADUAL PRIMEIRO DE JUNHO;AVENIDA IMPERATRIZ S/N;SETOR RABELO;77730000;-8.59974393;-48.93313887
COLINAS DO TOCANTINS;ESCOLA MUNICIPAL JOSÉ TEODORO RODRIGUES;AV. SÃO SEBASTIÃO, N. 790, VILA SÃO JOÃO;VILA SÃO JOÃO;77760000;-8.0549773;-48.5003996
MIRACEMA DO TOCANTINS;ESC. MUN. BOANERGES MOREIRA DE PAULA;ASSENTAMENTO BREJINHO;ZONA RURAL;77650000;-9.6963439;-48.5929903
ITACAJÁ;ESCOLA MUNICIPAL TANCREDO NEVES;RUA JOAO MARTINS DE SOUZA, S/N;CENTRO;77720000;-8.3949067;-47.7701824
PEQUIZEIRO;COLÉGIO ESTADUAL BERNARDO SAYÃO;AVENIDA SALGADO FILHO, N 302;CENTRO;77730000;-8.59347985;-48.93283474
GUARAÍ;ESC. MUN. PROFª MARIA DO SOCORRO COELHO SILVA;AV. B-13 ESQ. C/ W-07 N 3955;SETOR SÃO LUIZ;77700000;-8.8541005;-48.4996601
LIZARDA;ESCOLA ESTADUAL REGINA SIQUEIRA CAMPOS;AV. DIONÍSIO DE SOUSA, S/N, CENTRO;CENTRO;77630000;-9.5939708;-46.6758736
ARAGUAÍNA;FACULDADE UNOPAR;AVENIDA ANHANGUERA - ESQUINA RUA GUANABARA;SETOR URBANO;77809200;-7.2051515;-48.2026154
ARAGUAÍNA;COLEGIO MILITAR DO ESTADO DO TOCANTINS - JORGE HUMBERTO CAMARGO;RUA 10 COM RUA 20, S/N;SETOR COIMBRA;77806060;-7.1956457;-48.1919954
JAÚ DO TOCANTINS;ESCOLA MUNICIPAL ANIZIO BRAGA;AVENIDA PRINCIPAL S/N - POVOADO DE NOVO HORIZONTE;ZONA RURAL;77450000;-12.83913;-48.5779333
AUGUSTINÓPOLIS;COLÉGIO MILITAR DO ESTADO DO TOCANTINS LA SALLE;RUA SANTAREM, N 500;BOA VISTA;77960000;-5.4686406;-47.8938241
MONTE SANTO DO TOCANTINS;ESCOLA MUNICIPAL JOSE BENICIO MARIZ;AV CONDESPAR S/N;CENTRO;77673000;-10.0055069;-48.9947215
NOVA OLINDA;ESCOLA MUNICIPAL PEDRO CHICOU DE ALENCAR;RUA TIRADENTES, 1145;CENTRO;77790000;-7.6323883;-48.4214467
MIRANORTE;ESCOLA ESTADUAL NOSSA SENHORA DA PROVIDENCIA;AVENIDA CASTELO BRANCO, 1914;CENTRO;77660000;-9.5372067;-48.590614
BABAÇULÂNDIA;ESCOLA ESTADUAL RUI BARBOSA;RUA SEBASTIÃO DE SOUSA, N 352;AREIA;77870000;-7.1931176;-47.7831828
PALMAS;ESCOLA ESTADUAL MARIA DOS REIS ALVES BARROS;QUADRA T-22, APM 48 - JARDIM TAQUARI;JARDIM TAQUARI;77063180;-10.3452667;-48.3384802
AXIXÁ DO TOCANTINS;COLÉGIO ESTADUAL MARECHAL RIBAS JUNIOR;RUA 13 DE MAIO, 1428;CENTRO;77930000;-5.6196145;-47.7732189
PIUM;ESCOLA INDIGENA DO 1O GRAU HERYRI HAWA;ALDEIA INDIGENA MACAUBAS S/N;ALDEIA INDÍGENA;77493000;-10.4731384;-50.4817047
MARIANÓPOLIS DO TOCANTINS;ESCOLA MUNICIPAL AMAZILIO DE SOUZA RIBEIRO;RUA GERALDO ALVARENGA S / N;CENTRO;77675000;-9.7933344;-49.6544435
CRISTALÂNDIA;COLÉGIO MILITAR OTACÍLIO MARQUES ROSAL;RUA D ESQUINA COM A RUA 4, S/N;SETOR AEROPORTO;77490000;-10.6082771;-49.2028642
COLINAS DO TOCANTINS;COLÉGIO DA POLÍCIA MILITAR JOÃO XXIII;PRAÇA JOÃO XXIII, 1466, CENTRO;CENTRO;77760000;-8.0594711;-48.4745188
TALISMÃ;COLÉGIO ESTADUAL DE TALISMÃ;RUA 11, 41, CENTRO;CENTRO;77483000;-12.8007317;-49.0914383
BABAÇULÂNDIA;ESCOLA MUNICIPAL POETA JOSÉ GOMES;RUA SANTOS DUMONT, N 929;CENTRO;77870000;-7.2039649;-47.7596965
GUARAÍ;ESCOLA MUNICIPAL LUIZ DE CAMÕES;AVENIDA TRES PODERES, S/N;SETOR NOVA QUERÊNCIA;77700000;-8.84894667;-48.51826
GURUPI;ESCOLA ORLINDO PEREIRA DA MOTA;RUA 21, ENTRE H E X, SETOR UNIAO V (ANTIGA CASEGO);SETOR UNIAO V;77413790;-11.73995208;-49.06900361
BOM JESUS DO TOCANTINS;ESCOLA ESTADUAL ALFREDO NASSER;RUA GILVAN RODRIGUES BEZERRA, S/N, CENTRO;CENTRO;77714000;-8.96555333;-48.16606667
ARAGUAÍNA;COLEGIO ESTADUAL GUILHERME DOURADO;RUA ADEVALDO DE MORAIS, 284;CENTRO;77805070;-7.1909432;-48.2031119
CONCEIÇÃO DO TOCANTINS;COL. EST. CEL. JOSÉ FRANCISCO DE AZEVEDO;PÇA. CAP. LINDOLFO ROCHA N. 84;CENTRO;77305000;-12.2184416;-47.2969614
ARAGUAÇU;POVOADO BAIANÓPOLIS - ESCOLA MUNICIPAL MARTINIANO PEREIRA;AVENIDA PRINCIPAL - POVOADO BAIANÓPOLIS;ZONA RURAL;77475000;-12.7539434;-50.0242502
FILADÉLFIA;MONUMENTO NATURAL DAS ARVORES FOSSILIZADAS DO TOCANTINS;POVOADO BIELANDIA;ZONA RURAL;77795000;-7.4864937;-47.8565722
SÍTIO NOVO DO TOCANTINS;ESCOLA MUNICIPAL JARBAS PASSARINHO - POVOADO OLHO D'ÁGUA DO CÔCO;RUA JARBAS PASSARINHO - POVOADO OLHO D'ÁGUA DO CÔCO;ZONA RURAL;77940000;-5.5893235;-47.6042129
PALMAS;ESCOLA MUNICIPAL LÚCIA SALES PEREIRA RAMOS;QUADRA T-22 RUA LO-05 APM 37;JARDIM TAQUARI;77063242;-10.3423378;-48.3406664
XAMBIOÁ;COLEGIO ESTADUAL JULIANA BARROS;AV. B - QD. 01- S/N;SETOR LESTE;77880000;-6.4130717;-48.5310883
TAGUATINGA;GRUPO ESCOLAR ALTAMIRA;POVOADO ALTAMIRA;ZONA RURAL;77320000;-12.1549523;-46.453074
PARAÍSO DO TOCANTINS;ESCOLA MUL PROF ADÉLIA AGUIAR BARBOSA;AVENIDA 23 DE OUTUBRO ESC/ AVENIDA BRASIL;VILA REGINA;77600000;-10.20155959;-48.90291242
ALMAS;ESCOLA ESTADUAL DEOCLIDES MUNIZ;AVE. SÃO JOÃO S.N SETOR NORTE.;CENTRO;77310000;-11.5691558;-47.1659469
ARAGUAÇU;COLÉGIO ESTADUAL JOÃO TAVARES MARTINS;RUA CINCO, S/Nº, SETOR VALE DO ARAGUAIA.;VALE DO ARAGUAIA;77475000;-12.9402313;-49.8229675
ESPERANTINA;ESCOLA MUNICIPAL BOAS NOVAS;RUA 21 DE ABRIL, S/N;CENTRO;77993000;-5.3705155;-48.5419395
DUERÉ;COLÉGIO ESTADUAL ELESBÃO LIMA;AVENIDA 14 DE NOVEMBRO S/N.;CENTRO;77485000;-11.3427575;-49.2722207
PALMAS;ESCOLA MUNICIPAL DE TEMPO INTEGRAL SANTA BÁRBARA;RUA 7, APM-L ETAPA 5;SETOR SANTA BARBARA;77006322;-10.3377388;-48.3052553
PALMEIRÓPOLIS;ESCOLA MUNICIPAL ESPAÇO CONEXÃO;RUA 14 ENTRE AS AVENIDAS DAS PALMEIRAS E CASTELO BRANCO.;CENTRO;77365000;-13.04197;-48.411125
TOCANTÍNIA;ESC. EST. ANTONIO BENVINDO DA LUZ;QD 25 N. 825 LOTE 01;CENTRO;77640000;-9.5718001;-48.3758815
ANANÁS;ESCOLA PAROQUIAL SAO PEDRO;RUA NOSSA SENHORA DE FATIMA, 167;CENTRO;77890000;-6.3658991;-48.0732375
PARAÍSO DO TOCANTINS;ESCOLA MUNICIPAL DE 1 GRAU JARDIM PAULISTA;AVENIDA TAUBATE, S/N;JARDIM PAULISTA;77600000;-10.17346006;-48.89524632
SANTA MARIA DO TOCANTINS;CENTRO EDUCACIONAL ZEFERINO PEREIRA DA SILVA;RUA 13, S/N.;CENTRO;77716000;-8.7770517;-47.7459546
GURUPI;CEMEI ONEIDE DE SOUZA COELHO;RUA 9, N. 674, QD 51;CAMPO BELLO;77400000;-11.7239933;-49.1296051
SANDOLÂNDIA;ESCOLA MUNICIPAL CANTINHO DO SABER;AVENIDA RIO DO FOGO, S/Nº, CENTRO.;CENTRO;77478000;-12.5359952;-49.9267027
SILVANÓPOLIS;ESCOLA ESTADUAL JOÃO PIRES QUERIDO;RUA 32 ESQ. C/ RUA 33, 290;SETOR OESTE;77580000;-11.15449391;-48.16676122
PARAÍSO DO TOCANTINS;ESCOLA ESTADUAL DEUSA MORAES;RUA VOLUNTARIOS DA PATRIA, 950;CENTRO;77600000;-10.17416007;-48.88364532
ARAGUAÍNA;COLEGIO ESTADUAL PROFESSORA SILVANDIRA SOUSA LIMA;RUA 10, S/N;VILA COUTO MAGALHAES;77824120;-7.1636211;-48.2037682
ALMAS;COLEGIO ESTADUAL DR ABNER DE ARAUJO PACINI;AV. AYRTON SENA S/N, SETOR OESTE;CENTRO;77310000;-11.5782817;-47.1744917
PARAÍSO DO TOCANTINS;CENTRO DE ENSINO MÉDIO JOSÉ ALVES DE ASSIS;RUA BERNARDINO MACIEL, 1061;CENTRO;77600000;-10.17451363;-48.88880135
SANTA FÉ DO ARAGUAIA;ESCOLA ESTADUAL ANAIDES BRITO MIRANDA;RUA IPE, S/N, CENTRO;CENTRO;77848000;-7.1528893;-48.6909372
FORMOSO DO ARAGUAIA;ESCOLA MUNICIPAL SILAS RAIMUNDO MILHOMEM;AV. JOSÉ SOARES, SN;SETOR ALIANÇA;77470000;-11.8176669;-49.5179667
PORTO NACIONAL;ESCOLA MUNICIPAL FANY MACEDO;AVENIDA PORTO ALEGRE, S/N;NOVO PLANALTO;77500000;-10.722764;-48.3995693
ARAGUAÍNA;COLEGIO APLICACAO;RUA G, QUADRA 42;SETOR COUTO MAGALHAES;77800888;-7.1723006;-48.2092729
PARANÃ;ESCOLA MUNICIPAL FLORACY BONFIM  PEREIRA DE ARAÚJO;RUA 7, QUADRA 39, LOTE 7/10, S/N;VILA NOVA;77360000;-12.61449;-47.8720379
TAGUATINGA;ESCOLA MUNICIPAL JOSE DE ALMEIDA;AVENIDA PRINCIPAL, S/N;SETOR INDUSTRIAL;77320000;-12.4120315;-46.4261446
RIO DOS BOIS;ESCOLA MUNICIPAL ILANNA TAVARES DA COSTA;AVENIDA AZARIAS VIEIRA DE BARROS S/N;SETOR JABAQUARA;77655000;-9.3442413;-48.5380963
LAGOA DA CONFUSÃO;COLEGIO MUNICIPAL PEDRO GUERRA;RUA JOÃO MAXIMINO DE ALENCAR;CENTRO;77493000;-10.7941036;-49.6244087
ARAGUAÍNA;ESCOLA MUNICIPAL OLAVO BILAC;RUA SÃO JOÃO, 49;JARDIM DAS PALMEIRAS;77817270;-7.1993122;-48.2245954
COUTO MAGALHÃES;CRECHE DORVALINA MARTINS DA SILVA;RUA 03;SETOR BRASIL;77750000;-8.36300607;-49.18545272
PEDRO AFONSO;COLÉGIO CRISTO REI;RUA CONSTÂNCIO GOMES, 300;CENTRO;77710000;-8.967515;-48.175955
PALMAS;IFTO - INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO TOCANTINS;QD. AE-310 SUL(ARSE 34) AV NS-10 S/N;CENTRO;77021090;-10.1984946;-48.311851
GURUPI;ESCOLA MUNICIPAL VILA NOVA;AVENIDA PERIMENTRAL NORTE - SETOR VILA NOVA;CENTRO;77400000;-11.7109991;-49.0476578
PALMAS;ESCOLA MUNICIPAL DE TEMPO INTEGRAL CAROLINE CAMPELO CRUZ DA SILVA;RUA SF-11 APM 07 LOTE 01;SETOR SANTA FÉ 2º ETAPA;77270000;-10.33224543;-48.28730749
DIANÓPOLIS;COLEGIO JOAO D' ABREU;RUA MADRE BELEM S/N;CENTRO;77300000;-11.6255342;-46.8192067
CACHOEIRINHA;ESCOLA ESTADUAL RAIMUNDO NONATO TORRES;RUA CONEGO JOAO LIMA, S/N;CENTRO;77915000;-6.1131662;-47.9154406
AUGUSTINÓPOLIS;COLEGIO ESTADUAL MANOEL VICENTE DE SOUSA;RUA DOM PEDRO I S/N;CENTRO;77960000;-5.4686603;-47.8847206
DARCINÓPOLIS;ESCOLA MUNICIPAL VITOR DIAS;RUA 7 DE SETEMBRO,  669;CENTRO;77910000;-6.7092721;-47.7525432
FILADÉLFIA;ESCOLA MUNICIPAL  NOSSA SENHORA DO PERPETUO SOCORRO;AVENIDA GOIATINS, S/N - POVOADO BIELÂNDIA;ZONA RURAL;77795000;-7.4858496;-47.8601649
PALMAS;CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL IRMÃ MARIA CUSTÓDIA DE JESUS;RUA PERIMETRAL 2 APM 3 JARDIM AURENY II;JARDIM AURENY II;77060236;-10.3287388;-48.3047071
PALMAS;ESCOLA MUNICIPAL ESTEVÃO CASTRO;RUA 30 S/N APM 13 JARDIM AURENY III;JARDIM AURENY III;77062056;-10.3145863;-48.3188637
COLMÉIA;APAE - ASSOCIAÇÃO DE PAES E AMIGOS DOS EXEPCIONAIS ;AVENIDA GUARAÍ ;CENTRO;77725000;-8.73583186;-48.75178454
PEIXE;ESCOLA MUNICIPAL HERCULANO DE QUEIROZ;POVOADO VILA SÃO MIGUEL;ZONA RURAL;77460000;-11.5938022;-48.528997
PARAÍSO DO TOCANTINS;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS;DISTRITO AGROINDUSTRIAL DE PARAÍSO;POVOADO SANTANA;77600000;-10.2685183;-48.8880196
ALVORADA;ESCOLA MUNICIPAL DIVINA GOMES DA SILVEIRA COSTA;AVENIDA GOIÁS, S/N - SETOR SANTA  ÂNGELA;SANTA ANGELA;77480000;-12.4730094;-49.1257567
ARAGUAÍNA;ESCOLA MUNICIPAL ARNON FERREIRA LEAL;RUA RODOVIÁRIA, S/N;CONJUNTO RESIDENCIAL PATROCINIO;77826614;-7.1973273;-48.1811266
MURICILÂNDIA;ESCOLA MUNICIPAL DOM PEDRO I;RUA PRINCIPAL, SN, POVOADO COCALÂNDIA;ZONA RURAL;77850000;-7.223753;-48.6219325
PARAÍSO DO TOCANTINS;ESCOLA ESTADUAL JUSCELINO KUBITSCHEK DE OLIVEIRA;RUA HÃNES DE SÁ, 1020;SETOR SERRANO;77600000;-10.1670719;-48.87445264
PALMAS;ESCOLA MUNICIPAL THIAGO BARBOSA;RUA PROFESSOR RIBAMAR ESQ. C/ AV GOIAS QD 65 APM;JARDIM AURENY II;77060194;-10.3276054;-48.3016912
PARAÍSO DO TOCANTINS;ESCOLA MUNICIPAL JOSÉ RIBEIRO TORRES;AVENIDA JK S/N;ALTO PARAÍSO;77600000;-10.19353792;-48.88473477
COLINAS DO TOCANTINS;FIESC-FACULDADE DE COLINAS;RUA DOM MANOEL, 1297, NOVO PLANALTO;NOVO PLANALTO;77760000;-8.0499932;-48.4889259
CARRASCO BONITO;ESCOLA ESTADUAL CÍCERO GOMES DE JESUS;RUA XV DE NOVEMBRO, N 450;CENTRO;77985000;-5.3235512;-48.0350067
COLINAS DO TOCANTINS;ESCOLA MUNICIPAL TEODOMIRO RODRIGUES DA ROCHA (PRÉDIO NOVO);RUA POCHOREU, S/N (NOVO PRÉDIO);SANTO ANTONIO II;77760000;-8.0454167;-48.457538
ARAGUAÍNA;CENTRO DE EDUCAÇÃO INFANTIL MUNICIPAL SITIO DA DONA BENTA;RUA BRANCA QD 22 LT 33 VILA AZUL;VILA AZUL;77815862;-7.2155054;-48.2579713
PALMAS;ESCOLA MUNICIPAL DE TEMPO INTEGRAL LUIZ NUNES DE OLIVEIRA;RUA LUIS NUNES DE OLIVEIRA S/N;BURITIRANA;77040090;-10.25213116;-47.88819579
AXIXÁ DO TOCANTINS;CENTRO DE CONVIVÊNCIA DO IDOSO;RUA DO MERCADO, S/N (AO LADO DO MERCADO MUNICIPAL);CENTRO;77930000;-5.6170116;-47.7740579
PALMAS;COLÉGIO MARISTA DE PALMAS;110 SUL(ARSE14) ALAMEDA 23 LOTES 02/04;CENTRO;77020158;-10.1909933;-48.312615
BANDEIRANTES DO TOCANTINS;ESCOLA ESTADUAL ARCELINO FRANCISCO DO NASCIMENTO;RUA CICERO CARNEIRO, S/N;CENTRO;77783000;-7.7572;-48.5764883
TAGUATINGA;ESCOLA MUNICIPAL JOAQUIM JOSE DE ALMEIDA;AVENIDA JOSE JOAQUIM DE ALMEIDA, S/N;VILA SANTA MARIA;77320000;-12.403998;-46.4296229
COUTO MAGALHÃES;POSTO DE SAÚDE DONA MARTINHA;RUA PRINCIPAL - POVOADO DE COUTO VELHO;ZONA RURAL;77750000;-8.28541327;-49.24591302
PORTO NACIONAL;CENTRO DE ENSINO MEDIO FLORÊNCIO AIRES - CEM;AVENIDA RUBENS PEREIRA REIS DE ANDRADE, 1146;JARDIM BRASILIA;77500000;-10.7142995;-48.4109812
AUGUSTINÓPOLIS;ESCOLA MUNICIPAL PRESIDENTE KENNEDY;RUA PRESIDENTE KENNEDY, S/N;CENTRO;77960000;-5.463409;-47.8903856
GURUPI;ESCOLA MUNICIPAL ANTONIO DE ALMEIDA VERAS;AVENIDA BRASILIA, S/N, ENTRE AS RUAS 15 E 16;CENTRO;77400000;-11.73071371;-49.05398944
PIRAQUÊ;ESCOLA MUNICIPAL GILMAR ALVES BATISTA;ASSENTAMENTO TUCUMERIM;ZONA RURAL;77888000;-6.9470721;-48.1947587
COLINAS DO TOCANTINS;COLÉGIO ESTADUAL GIRASSOL DE TEMPO INTEGRAL ERNESTO BARROS;RUA PRESIDENTE DUTRA, N. 39;CENTRO;77760000;-8.0567382;-48.4817226
JUARINA;COLEGIO ESTADUAL ZICO DORNELAS;AVENIDA PETRONIO PORTELA NUNES, S/N;CENTRO;77753000;-8.1194558;-49.0935624
TOCANTINÓPOLIS;ESCOLA MUNICIPAL NOVO AEROPORTO;OLHO D'AGUA DE CIMA - NOVO AEROPORTO;ZONA RURAL;77900000;-6.3381671;-47.4709565
NATIVIDADE;CRECHE TIA CHIQUINHA;RUA SÃO JOSÉ, S/N;NOVA ESPERANÇA;77370000;-11.7032762;-47.7322652
GURUPI;CEM GURUPI (ANTIGO COLEGIO ESTADUAL DE GURUPI);AVENIDA SAO PAULO N 1130 - ENTRE AS RUAS 05 E 06;CENTRO;77400000;-11.7256896;-49.07064345
AGUIARNÓPOLIS;ESCOLA MUNICIPAL DEGRAUS DO SABER;RUA DA PRATA S/N;LOTEAMENTO HIDROFERROVIÁRIO;77908000;-6.558125599999999;-47.4807372
LAGOA DO TOCANTINS;ESCOLA MUNICIPAL DELCI RIBEIRO BARROS;AV. MANOEL ALVES, S/N;CENTRO;77613000;-10.2984819;-47.5656564
PARAÍSO DO TOCANTINS;ESCOLA MUNICIPAL VEREADOR JOSÉ ODETE;RUA 26 S/N;VILA MILENA;77600000;-10.15709794;-48.88746382
ITACAJÁ;ESCOLA ESTADUAL INDÍGENA JUHKWYJ;ALDEIA INDÍGENA GALHEIRO;ALDEIA INDÍGENA;77720000;-8.538805;-47.5104067
ANANÁS;ESCOLA MUNICIPAL JOÃO DIAS BORGES;PRAÇA DA BANDEIRA, S/ N,;CENTRO;77890000;-6.36572;-48.0715677
ITAPORÃ DO TOCANTINS;ESCOLA MUNICIPAL DONA AUGUSTA MARIA DE JESUS;AVENIDA 7 DE SETEMBRO, S/N;CENTRO;77740000;-8.57476313;-48.69126573
PALMAS;COLÉGIO ESTADUAL GIRASSOL DE TEMPO INTEGRAL RACHEL DE QUEIROZ;AV. H, APE-02, S/N;JARDIM AURENY III;77062014;-10.32123027;-48.31884113
SÃO SEBASTIÃO DO TOCANTINS;COLÉGIO ESTADUAL  ÍRIO OLIVEIRA SOUSA;RUA JOSÉ SOARES, N 600;CENTRO;77990000;-5.2577292;-48.2012789
GURUPI;COLEGIO POSITIVO DE GURUPI;AVENIDA CEARA - ENTRE RUAS 03 E 04;CENTRO;77075000;-11.7315102;-49.0627351
XAMBIOÁ;ESCOLA MUNICIPAL DOM CORNÉLIO CHIZZINI;RUA SÃO JOSÉ, S/N, ESQ. COM RUA AFONSO D. DE CAVALHO;SÃO JOSÉ;77880000;-6.406756;-48.5298556
ALMAS;ESCOLA ARI  PEREIRA BORGES;RUA 03, S/N, SETOR AEROPORTO ;SETOR AEROPORTO;77310000;-11.5649951;-47.168784
SÃO BENTO DO TOCANTINS;ESC. MUNIC. JOÃO PAULO CARNEIRO RODRIGUES;RUA ANTONIO FIGUEIRAS;CENTRO;77958000;-6.0264967;-47.9215812
PORTO NACIONAL;ESCOLA ESTADUAL DOM DOMINGOS CARREROT;AVENIDA IBANEZ AIRES, S/N;SETOR AEROPORTO;77500000;-10.71110855;-48.40704841
TOCANTÍNIA;ESC. EST. INDÍGENA RIO SONO (ALDEIA RIO SONO);ALDEIA RIO SONO;ALDEIA INDÍGENA;77640000;-9.5928982;-47.9244495
ARAGUACEMA;COLÉGIO ESTADUAL DE ARAGUACEMA;AV GOIÁS, 493;CENTRO;77690000;-8.8090781;-49.5558232
BURITI DO TOCANTINS;ESCOLA ESTADUAL VICENTE CARLOS DE SOUSA;RUA NOVO HORIZONTE, S/N;CENTRO;77995000;-5.3177619;-48.2260982
PRAIA NORTE;ESCOLA MUNICIPAL ALFREDO NASSER;RUA DO CAMPO S/N - POVOADO SÃO FÉLIX;ZONA RURAL;77970000;-5.4477333;-47.788565
